Genome Name,Accuracy,Precision,Recall,F1 Score
GCF_000283915.1_ASM28391v1,0.7551020408163265,1.0,0.5,0.6666666666666666
GCF_002056795.1_ASM205679v1,0.8333333333333334,1.0,0.6666666666666666,0.8
GCF_009734425.1_ASM973442v1,0.7857142857142857,1.0,0.55,0.7096774193548387
GCF_003097575.1_ASM309757v1,0.6774193548387096,1.0,0.375,0.5454545454545454
GCF_900476035.1_53694_C01,0.8333333333333334,1.0,0.625,0.7692307692307693
GCF_007750855.1_ASM775085v1,0.7333333333333333,1.0,0.4666666666666667,0.6363636363636364
GCF_001858005.1_ASM185800v1,0.7878787878787878,1.0,0.5,0.6666666666666666
GCF_025118245.1_ASM2511824v1,0.8266666666666667,1.0,0.6176470588235294,0.7636363636363637
GCF_019141525.1_ASM1914152v1,0.9104477611940298,1.0,0.7777777777777778,0.8750000000000001
GCF_020097615.1_ASM2009761v1,0.96,1.0,0.9090909090909091,0.9523809523809523
GCF_010727605.1_ASM1072760v1,0.7540983606557377,1.0,0.4642857142857143,0.6341463414634146
GCF_009708215.1_ASM970821v1,0.6875,1.0,0.375,0.5454545454545454
GCF_001007875.1_ASM100787v1,0.8461538461538461,1.0,0.6923076923076923,0.8181818181818181
GCF_001880225.1_ASM188022v1,0.9523809523809523,1.0,0.9,0.9473684210526316
GCF_000025485.1_ASM2548v1,0.8088235294117647,1.0,0.6176470588235294,0.7636363636363637
GCF_008806995.1_ASM880699v1,0.8529411764705882,1.0,0.6666666666666666,0.8
GCF_009646095.1_ASM964609v1,0.7096774193548387,1.0,0.4,0.5714285714285715
GCF_000321415.2_ASM32141v2,0.7868852459016393,1.0,0.5517241379310345,0.7111111111111111
GCF_004851605.1_ASM485160v1,0.8666666666666667,1.0,0.7333333333333333,0.846153846153846
GCF_001697225.1_ASM169722v1,0.7941176470588235,1.0,0.5882352941176471,0.7407407407407407
GCF_900638485.1_57728_B01,0.6153846153846154,1.0,0.16666666666666666,0.2857142857142857
GCF_002208805.2_ASM220880v2,0.7808219178082192,1.0,0.5428571428571428,0.7037037037037037
GCF_012931585.1_ASM1293158v1,0.7848101265822784,1.0,0.5405405405405406,0.7017543859649124
GCF_001936175.1_ASM193617v1,0.9081632653061225,1.0,0.6086956521739131,0.7567567567567568
GCF_023299185.1_ASM2329918v1,0.8809523809523809,1.0,0.7368421052631579,0.8484848484848484
GCF_005473905.2_ASM547390v2,0.8021978021978022,1.0,0.5909090909090909,0.7428571428571429
GCF_001685415.1_ASM168541v1,0.8095238095238095,1.0,0.6,0.7499999999999999
GCF_003814405.1_ASM381440v1,0.6923076923076923,1.0,0.3333333333333333,0.5
GCF_003711265.1_ASM371126v1,0.72,1.0,0.4166666666666667,0.5882352941176471
GCF_900005615.1_JCM7685,0.8507462686567164,1.0,0.6774193548387096,0.8076923076923077
GCF_017068355.1_ASM1706835v1,0.8372093023255814,1.0,0.631578947368421,0.7741935483870968
GCF_008704425.1_ASM870442v1,0.8557692307692307,1.0,0.6938775510204082,0.819277108433735
GCF_000224965.2_ASM22496v2,0.8108108108108109,1.0,0.6111111111111112,0.7586206896551725
GCF_013365475.1_ASM1336547v1,0.6153846153846154,1.0,0.16666666666666666,0.2857142857142857
GCF_001553625.1_ASM155362v1,0.8055555555555556,1.0,0.6111111111111112,0.7586206896551725
GCF_003261055.1_ASM326105v1,0.875,1.0,0.7321428571428571,0.8453608247422679
GCF_000092505.1_ASM9250v1,0.8382352941176471,1.0,0.6764705882352942,0.8070175438596492
GCF_000264455.2_ASM26445v2,0.7708333333333334,1.0,0.5416666666666666,0.7027027027027027
GCF_000816105.1_ASM81610v1,0.7169811320754716,1.0,0.4,0.5714285714285715
GCF_008831385.1_ASM883138v1,0.78125,1.0,0.5625,0.72
GCF_000317125.1_ASM31712v1,0.7155172413793104,1.0,0.43103448275862066,0.6024096385542169
GCF_001660045.1_ASM166004v1,0.8706896551724138,1.0,0.7169811320754716,0.8351648351648352
GCF_018491735.2_ASM1849173v2,0.8064516129032258,1.0,0.5714285714285714,0.7272727272727273
GCF_000591055.1_ASM59105v1,0.8,1.0,0.5961538461538461,0.7469879518072289
GCF_023921225.1_ASM2392122v1,0.8113207547169812,1.0,0.6,0.7499999999999999
GCF_014926585.1_ASM1492658v1,0.8181818181818182,1.0,0.6296296296296297,0.7727272727272727
GCF_001866075.3_ASM186607v3,0.794392523364486,1.0,0.5887850467289719,0.7411764705882352
GCF_000747315.1_ASM74731v1,0.5428571428571428,1.0,0.058823529411764705,0.1111111111111111
GCF_001886615.1_ASM188661v1,0.7692307692307693,1.0,0.5384615384615384,0.7000000000000001
