Sampled genomes,Num seqs,Create fasta time,Bulk compute time,Concat tensors time
GCF_004135365.1_ASM413536v1,973,0.04908490180969238,16.091560125350952,0.5983901023864746
GCF_012871055.1_ASM1287105v1,3707,0.13132762908935547,51.31390857696533,2.113831043243408
GCF_022869165.1_ASM2286916v1,506,0.1611766815185547,15.326090574264526,0.3022749423980713
GCF_002288025.1_ASM228802v1,78,0.011568069458007812,9.018346309661865,0.05033755302429199
GCF_002407265.1_ASM240726v1,738,0.046624183654785156,18.36561369895935,0.46089792251586914
GCF_003813965.1_ASM381396v1,2202,0.08592724800109863,29.789938926696777,1.2420251369476318
GCF_009301415.1_ASM930141v1,668,0.041919708251953125,15.239811420440674,0.3986015319824219
GCF_009258045.1_ASM925804v1,70,0.004806041717529297,8.915792465209961,0.04487323760986328
GCF_000970065.1_ASM97006v1,2598,0.09662675857543945,29.634336709976196,1.4608659744262695
GCF_001027285.1_ASM102728v1,1348,0.05187177658081055,21.07689118385315,0.7801063060760498
GCF_012427845.1_ASM1242784v1,1314,0.04538154602050781,19.023221492767334,0.7358095645904541
GCF_900477945.1_45473_H02,132,0.0199892520904541,9.437603950500488,0.08056211471557617
GCF_000008185.1_ASM818v1,256,0.016227245330810547,11.794457912445068,0.1879863739013672
GCF_000009045.1_ASM904v1,618,0.035996198654174805,12.303706645965576,0.3632218837738037
GCF_019623905.1_ASM1962390v1,500,0.01940464973449707,14.990497350692749,0.2997853755950928
GCF_024498215.1_ASM2449821v1,136,0.015174150466918945,9.465211629867554,0.08025145530700684
GCF_004293625.1_ASM429362v1,357,0.04227852821350098,12.629283666610718,0.23644375801086426
GCF_001636015.1_ASM163601v1,378,0.03348946571350098,11.375338554382324,0.2382657527923584
GCF_000025965.1_ASM2596v1,763,0.03486990928649902,14.994364500045776,0.4533560276031494
GCF_000484535.1_ASM48453v1,709,0.034569501876831055,13.2285737991333,0.39746546745300293
GCF_019047805.1_ASM1904780v1,418,0.016876697540283203,11.867985010147095,0.23921608924865723
GCF_000091325.1_ASM9132v1,1672,0.06388020515441895,23.941294193267822,0.951465368270874
GCF_009388985.1_ASM938898v1,344,0.013483762741088867,11.931725978851318,0.19834232330322266
GCF_000017845.1_ASM1784v1,804,0.030429363250732422,13.325203657150269,0.45198583602905273
GCF_000297055.2_ASM29705v2,530,0.029602766036987305,13.112236499786377,0.2988016605377197
GCF_000022145.1_ASM2214v1,313,0.013675451278686523,11.554490566253662,0.17674612998962402
GCF_000025485.1_ASM2548v1,473,0.02490711212158203,12.517889261245728,0.2816901206970215
GCF_000591055.1_ASM59105v1,515,0.019619464874267578,14.38087797164917,0.2981994152069092
GCF_018138105.1_ASM1813810v1,1784,0.061658620834350586,23.6535484790802,1.0063273906707764
GCF_900475025.1_41906_G01,171,0.03664350509643555,9.908365964889526,0.12028837203979492
